num_rooms,size,floor,Price,Location,Date,Today
4 ,281 ,22/32 ,2 100 000,Nəsimi r.,"Bakı, 10 i̇yun 2022",06/15/2022
3 ,160 ,3/18 ,238 000,İnşaatçılar m.,"Bakı, dünən 11:42",06/15/2022
5 ,265 ,8/8 ,320 000,Nəriman Nərimanov m.,"Bakı, 11 i̇yun 2022",06/15/2022
3 ,108 ,16/21 ,179 000,Əhmədli q.,"Bakı, 13 i̇yun 2022",06/15/2022
1 ,50.8 ,,63 500,Bakı,"Bakı, dünən 16:11",06/15/2022
1 ,45.7 ,,57 112,Bakı,"Bakı, bugün 10:39",06/15/2022
4 ,223 ,,583 145,Bakı,"Bakı, 09 i̇yun 2022",06/15/2022
3 ,170 ,,323 000,Bakı,"Bakı, 03 i̇yun 2022",06/15/2022
2 ,94 ,7/17 ,121 000,Qara Qarayev m.,"Bakı, bugün 14:16",06/15/2022
4 ,150 ,15/20 ,174 000,İnşaatçılar m.,"Bakı, bugün 14:17",06/15/2022
3 ,105 ,12/18 ,172 900,Xətai r.,"Bakı, bugün 14:16",06/15/2022
2 ,75 ,12/18 ,118 000,Nizami r.,"Bakı, bugün 14:15",06/15/2022
2 ,80 ,5/12 ,165 000,Nəsimi r.,"Bakı, bugün 14:15",06/15/2022
3 ,99 ,15/18 ,170 000,Həzi Aslanov m.,"Bakı, bugün 14:15",06/15/2022
3 ,122.4 ,9/16 ,165 000,Həzi Aslanov m.,"Bakı, bugün 14:34",06/15/2022
3 ,120 ,3/5 ,350 000,Sahil m.,"Bakı, bugün 14:15",06/15/2022
4 ,200 ,8/16 ,390 000,Nəsimi r.,"Bakı, bugün 14:14",06/15/2022
3 ,165 ,16/24 ,363 000,Nəsimi r.,"Bakı, bugün 14:14",06/15/2022
3 ,103 ,11/15 ,265 000,Elmlər Akademiyası m.,"Bakı, bugün 14:13",06/15/2022
2 ,65 ,3/18 ,145 000,Nəsimi r.,"Bakı, bugün 14:13",06/15/2022
3 ,100 ,12/15 ,189 000,Nizami m.,"Bakı, bugün 14:13",06/15/2022
3 ,110 ,16/20 ,179 000,Əhmədli q.,"Bakı, bugün 14:12",06/15/2022
3 ,50 ,3/5 ,82 000,Memar Əcəmi m.,"Bakı, bugün 14:12",06/15/2022
3 ,150 ,14/15 ,178 000,Yasamal r.,"Bakı, bugün 14:12",06/15/2022
5 ,305 ,5/18 ,600 000,Elmlər Akademiyası m.,"Bakı, bugün 14:11",06/15/2022
4 ,141 ,13/18 ,275 000,İnşaatçılar m.,"Bakı, bugün 14:11",06/15/2022
4 ,100 ,4/5 ,130 000,Neftçilər m.,"Bakı, bugün 14:11",06/15/2022
3 ,156 ,5/16 ,350 000,Elmlər Akademiyası m.,"Bakı, bugün 14:11",06/15/2022
1 ,34 ,7/9 ,45 500,Hövsan q.,"Bakı, bugün 14:10",06/15/2022
3 ,132 ,11/16 ,239 000,Nəriman Nərimanov m.,"Bakı, bugün 14:12",06/15/2022
2 ,69.1 ,10/15 ,145 000,Nəriman Nərimanov m.,"Bakı, bugün 14:09",06/15/2022
3 ,130 ,2/16 ,210 000,7-ci mikrorayon q.,"Bakı, bugün 14:08",06/15/2022
3 ,80 ,2/2 ,85 000,Binə q.,"Bakı, 18 may 2022",06/15/2022
4 ,174 ,7/16 ,198 000,Nərimanov r.,"Bakı, bugün 10:02",06/15/2022
2 ,74.5 ,8/11 ,101 420,20 Yanvar m.,"Bakı, 12 i̇yun 2022",06/15/2022
3 ,105 ,11/11 ,180 000,Yasamal r.,"Bakı, 25 may 2022",06/15/2022
1 ,53.4 ,,122 553,Sea Breeze ,"Bakı, bugün 11:47",06/15/2022
4 ,164.2 ,,377 729,Bakı,"Bakı, dünən 15:26",06/15/2022
2 ,72.1 ,,75 652,Bakı,"Bakı, 27 may 2022",06/15/2022
2 ,79.5 ,,99 375,Bakı,"Bakı, dünən 16:11",06/15/2022
2 ,65 ,4/16 ,125 000,Dərnəgül m.,"Bakı, bugün 14:07",06/15/2022
3 ,141 ,2/13 ,250 000,Nəsimi r.,"Bakı, bugün 14:07",06/15/2022
2 ,48 ,4/4 ,95 000,Yasamal r.,"Bakı, bugün 14:06",06/15/2022
2 ,82 ,13/19 ,110 000,Həzi Aslanov m.,"Bakı, bugün 14:06",06/15/2022
4 ,110 ,3/5 ,190 000,Nəsimi r.,"Bakı, bugün 14:07",06/15/2022
4 ,110 ,3/4 ,279 000,Sahil m.,"Bakı, bugün 14:05",06/15/2022
2 ,55 ,5/5 ,68 000,Memar Əcəmi m.,"Bakı, bugün 14:06",06/15/2022
3 ,130 ,2/19 ,198 500,8 Noyabr m.,"Bakı, bugün 14:05",06/15/2022
2 ,57 ,1/5 ,67 000,Memar Əcəmi m.,"Bakı, bugün 14:04",06/15/2022
3 ,157 ,17/18 ,270 000,Nəsimi r.,"Bakı, bugün 14:04",06/15/2022
1 ,35 ,4/5 ,64 000,Dərnəgül m.,"Bakı, bugün 14:03",06/15/2022
2 ,95 ,2/6 ,235 000,Sahil m.,"Bakı, bugün 14:03",06/15/2022
2 ,52.2 ,2/4 ,115 000,Nəsimi r.,"Bakı, bugün 14:02",06/15/2022
2 ,69 ,3/13 ,130 000,İnşaatçılar m.,"Bakı, bugün 14:01",06/15/2022
3 ,127 ,9/18 ,295 000,Səbail r.,"Bakı, bugün 14:00",06/15/2022
3 ,95 ,2/12 ,161 500,Nizami r.,"Bakı, bugün 14:00",06/15/2022
2 ,65.3 ,,127 335,Bakı,"Bakı, bugün 14:00",06/15/2022
4 ,274 ,11/13 ,850 000,Nərimanov r.,"Bakı, bugün 13:59",06/15/2022
3 ,122 ,4/17 ,278 000,Elmlər Akademiyası m.,"Bakı, bugün 13:59",06/15/2022
2 ,75 ,5/14 ,139 000,Bakıxanov q.,"Bakı, bugün 13:59",06/15/2022
3 ,80 ,6/16 ,125 000,9-cu mikrorayon q.,"Bakı, bugün 13:59",06/15/2022
3 ,99.5 ,5/17 ,170 000,28 May m.,"Bakı, bugün 13:59",06/15/2022
4 ,168 ,8/14 ,218 400,Səbail r.,"Bakı, bugün 13:58",06/15/2022
3 ,122 ,5/17 ,292 000,Elmlər Akademiyası m.,"Bakı, bugün 13:58",06/15/2022
2 ,68 ,4/17 ,117 000,Bayıl q.,"Bakı, 13 i̇yun 2022",06/15/2022
1 ,63.5 ,3/9 ,126 960,Nizami m.,"Bakı, 09 i̇yun 2022",06/15/2022
3 ,65 ,5/5 ,230 000,Sahil m.,"Bakı, 13 i̇yun 2022",06/15/2022
3 ,122 ,4/17 ,278 000,Elmlər Akademiyası m.,"Bakı, bugün 13:59",06/15/2022
4 ,167.6 ,,251 400,28 May m.,"Bakı, 10 i̇yun 2022",06/15/2022
1 ,54.1 ,,67 625,Bakı,"Bakı, 07 i̇yun 2022",06/15/2022
2 ,72.1 ,,75 652,Bakı,"Bakı, 27 may 2022",06/15/2022
1 ,65.1 ,,120 434,Bakı,"Bakı, 03 i̇yun 2022",06/15/2022
3 ,145 ,4/12 ,335 000,Nəsimi r.,"Bakı, bugün 13:58",06/15/2022
2 ,51 ,2/16 ,116 000,Nərimanov r.,"Bakı, bugün 13:57",06/15/2022
4 ,153 ,3/20 ,150 000,Əhmədli q.,"Bakı, bugün 13:57",06/15/2022
3 ,92 ,16/17 ,147 000,Binəqədi r.,"Bakı, bugün 13:55",06/15/2022
4 ,100 ,4/9 ,120 000,Neftçilər m.,"Bakı, bugün 13:55",06/15/2022
2 ,97 ,4/15 ,155 000,Qara Qarayev m.,"Bakı, bugün 13:55",06/15/2022
2 ,60 ,8/9 ,79 000,Qara Qarayev m.,"Bakı, bugün 13:54",06/15/2022
1 ,40 ,5/5 ,73 000,Yasamal r.,"Bakı, bugün 13:54",06/15/2022
2 ,70 ,4/16 ,124 500,Nəsimi r.,"Bakı, bugün 13:52",06/15/2022
3 ,100 ,2/2 ,65 000,Əmircan q.,"Bakı, bugün 13:52",06/15/2022
3 ,145 ,11/27 ,395 000,Yasamal q.,"Bakı, bugün 13:52",06/15/2022
3 ,117 ,11/17 ,280 000,Elmlər Akademiyası m.,"Bakı, bugün 13:51",06/15/2022
1 ,77 ,11/18 ,123 200,Nəsimi r.,"Bakı, bugün 13:51",06/15/2022
2 ,55 ,1/5 ,76 000,Əhmədli q.,"Bakı, bugün 13:51",06/15/2022
3 ,176 ,11/27 ,520 000,Yasamal q.,"Bakı, bugün 13:50",06/15/2022
2 ,56 ,10/15 ,123 000,Nərimanov r.,"Bakı, bugün 13:50",06/15/2022
4 ,130 ,17/17 ,155 000,Nərimanov r.,"Bakı, bugün 13:50",06/15/2022
2 ,76 ,6/20 ,125 000,Həzi Aslanov m.,"Bakı, bugün 14:13",06/15/2022
4 ,165 ,4/7 ,363 000,Xətai r.,"Bakı, bugün 13:49",06/15/2022
2 ,65 ,2/17 ,92 000,Binəqədi r.,"Bakı, bugün 13:49",06/15/2022
