Name,Price,Location,Date,Today,num_rooms,size,floor
3 otaqlı139.8 m²7/16 mərtəbə,244 500,Nizami m.,"Bakı, bugün 14:38",06/15/2022,3 ,139.8 ,7/16 
4 otaqlı167 m²2/13 mərtəbə,250 000,M.Ə.Rəsulzadə q.,"Bakı, bugün 14:38",06/15/2022,4 ,167 ,2/13 
2 otaqlı68 m²8/18 mərtəbə,120 000,20 Yanvar m.,"Bakı, bugün 14:38",06/15/2022,2 ,68 ,8/18 
3 otaqlı90 m²13/17 mərtəbə,162 000,Neftçilər m.,"Bakı, bugün 14:37",06/15/2022,3 ,90 ,13/17 
3 otaqlı120 m²13/17 mərtəbə,188 000,İnşaatçılar m.,"Bakı, bugün 14:37",06/15/2022,3 ,120 ,13/17 
3 otaqlı101 m²3/16 mərtəbə,194 500,Nəsimi r.,"Bakı, bugün 14:37",06/15/2022,3 ,101 ,3/16 
2 otaqlı95 m²13/17 mərtəbə,158 000,Nərimanov r.,"Bakı, bugün 14:37",06/15/2022,2 ,95 ,13/17 
3 otaqlı136 m²13/16 mərtəbə,150 000,Əhmədli q.,"Bakı, bugün 14:49",06/15/2022,3 ,136 ,13/16 
2 otaqlı67 m²12/18 mərtəbə,108 000,Xətai r.,"Bakı, bugün 14:35",06/15/2022,2 ,67 ,12/18 
2 otaqlı72 m²12/18 mərtəbə,118 000,Nizami r.,"Bakı, bugün 14:35",06/15/2022,2 ,72 ,12/18 
4 otaqlı148 m²12/21 mərtəbə,134 000,20 Yanvar m.,"Bakı, bugün 14:33",06/15/2022,4 ,148 ,12/21 
3 otaqlı92 m²3/7 mərtəbə,105 000,Masazır q.,"Bakı, bugün 14:33",06/15/2022,3 ,92 ,3/7 
3 otaqlı140 m²10/18 mərtəbə,255 000,Yasamal q.,"Bakı, bugün 14:33",06/15/2022,3 ,140 ,10/18 
3 otaqlı95 m²2/6 mərtəbə,185 000,28 May m.,"Bakı, bugün 14:32",06/15/2022,3 ,95 ,2/6 
3 otaqlı159 m²9/16 mərtəbə,318 000,Elmlər Akademiyası m.,"Bakı, bugün 14:32",06/15/2022,3 ,159 ,9/16 
